final_rankings__standing_player,nationality,standing_player2,final_rankings__age,final_rankings__points
232,SRB,Viktor Troicki,35,276
233,BIH,Mirza Basic,30,276
234,GER,Matthias Bachinger,34,273
235,FRA,Geoffrey Blancaneaux,23,271
236,ARG,Juan Pablo Ficovich,24,267
237,AUS,Matthew Ebden,34,266
238,CAN,Brayden Schnur,26,264
239,USA,Michael Mmoh,23,263
240,POR,Frederico Ferreira Silva,26,262
241,ARG,Thiago Agustin Tirante,20,261
242,GER,Nicola Kuhn,21,255
243,FRA,Manuel Guinard,26,255
244,UKR,Vitaliy Sachko,24,254
245,ARG,Pedro Cachin,26,254
246,SUI,Dominic Stricker,19,253
247,JPN,Go Soeda,37,253
248,POR,Joao Domingues,28,251
249,USA,Ulises Blanch,23,249
250,BRA,Joao Menezes,25,248
251,ITA,Andrea Arnaboldi,34,247
252,CRO,Nino Serdarusic,25,246
253,ITA,Giulio Zeppieri,20,245
254,UZB,Denis Istomin,35,241
255,GER,Tobias Kamke,35,241
256,USA,Christian Harrison,27,240
257,KAZ,Timofey Skatov,20,238
258,SVK,Lukas Klein,23,237
259,JPN,Kaichi Uchida,27,235
260,AUS,Bernard Tomic,29,231
261,NED,Tim van Rijthoven,24,229
262,ARG,Andrea Collarini,29,229
263,FRA,Jo-Wilfried Tsonga,36,228
264,RUS,Andrey Kuznetsov,30,228
265,GBR,Jack Draper,20,227
266,JPN,Yosuke Watanuki,23,223
267,ITA,Andrea Vavassori,26,221
268,GBR,Ryan Peniston,26,216
269,RUS,Evgeny Karlovskiy,27,215
270,TPE,Tung-Lin Wu,23,214
271,ARG,Guido Andreozzi,30,213
272,CRO,Duje Ajdukovic,20,213
273,CZE,Lukas Rosol,36,212
274,ITA,Paolo Lorenzi,40,211
275,CAN,Steven Diez,30,211
276,SUI,Alexander Ritschard,27,207
277,FRA,Tristan Lamasine,28,205
278,JPN,Tatsuma Ito,33,203
279,CRO,Ivo Karlovic,42,202
280,ROU,Marius Copil,31,201
281,RUS,Teymuraz Gabashvili,36,201
282,POR,Goncalo Oliveira,26,200
283,RUS,Evgenii Tiurnev,24,198
284,CRO,Borna Gojo,23,196
285,CAN,Peter Polansky,33,196
286,COL,Nicolas Mejia,21,196
287,BRA,Matheus Pucinelli De Almeida,20,192
288,HUN,Zsombor Piros,22,191
289,JPN,Hiroki Moriya,31,187
290,FRA,Evan Furness,23,186
291,AUT,Lucas Miedler,25,185
292,AUT,Gerald Melzer,31,183
293,ESP,Javier Barranco Cosano,23,183
294,SVK,Martin Klizan,32,181
295,BRA,Orlando Luz,23,180
296,SLO,Blaz Kavcic,34,179
297,FRA,Arthur Cazaux,19,178
298,ECU,Roberto Quiroz,29,178
299,DOM,Roberto Cid Subervi,28,176
300,GER,Julian Lenz,28,176
301,ITA,Raul Brancaccio,24,176
302,ARG,Santiago Rodriguez Taverna,22,175
303,ITA,Matteo Viola,34,175
304,BIH,Nerman Fatic,27,174
305,ITA,Riccardo Bonadio,28,173
306,CZE,Dalibor Svrcina,19,172
307,GER,Yannick Maden,32,172
308,ESP,Nikolas Sanchez Izquierdo,22,172
309,ARG,Leonardo Mayer,34,171
310,SRB,Danilo Petrovic,29,171
311,CZE,Jonas Forejtek,20,171
312,TUN,Malek Jaziri,37,170
313,ARG,Genaro Alberto Olivieri,23,167
314,ESP,Eduard Esteve Lobato,27,166
315,FRA,Antoine Escoffier,29,165
316,ESP,Nicolas Alvarez Varona,20,164
317,FRA,Kyrian Jacquet,20,163
318,SRB,Pedja Krstin,27,162
319,ROU,Filip Cristian Jianu,20,162
320,ESP,Marcel Granollers,35,161
321,CHN,Zhizhen Zhang,25,160
322,CHI,Gonzalo Lama,28,158
323,USA,Emilio Nava,20,155
324,BRA,Igor Marcondes,24,155
325,ARG,Hernan Casanova,27,155
326,USA,Bradley Klahn,31,154
327,ESP,Adrian Menendez-Maceiras,36,154
328,RUS,Alexander Shevchenko,21,154
329,ESP,Carlos Gimeno Valero,20,152
330,ITA,Francesco Forti,22,151
331,ESP,Tommy Robredo,39,149
332,SRB,Miljan Zekic,33,149
333,NED,Jelle Sels,26,148
334,FRA,Matteo Martineau,22,146
335,AUS,Akira Santillan,24,144
336,BEL,Michael Geerts,26,144
337,TUR,Ergi Kirkin,22,144
338,ARG,Facundo Diaz Acosta,21,144
339,RUS,Alexey Vatutin,29,144
340,GBR,Aidan McHugh,21,143
341,ITA,Luciano Darderi,19,142
342,TUN,Aziz Dougaz,24,141
343,JAM,Dustin Brown,37,138
344,MAR,Elliot Benchetrit,23,137
345,NOR,Viktor Durasovic,24,137
346,GER,Mischa Zverev,34,135
347,GBR,Paul Jubb,22,135
348,USA,Nicolas Moreno De Alboran,24,134
349,BRA,Daniel Dutra da Silva,33,134
350,GER,Sebastian Fanselow,29,134
351,AUT,Alexander Erler,24,134
352,SUI,Johan Nikles,24,132
353,DOM,Nick Hardt,21,127
354,AUT,Filip Misolic,20,126
355,ISR,Yshai Oliel,21,126
356,USA,Aleksandar Kovacevic,23,125
357,USA,JC Aragone,26,125
358,FRA,Alexis Gautier,24,124
359,BRA,Pedro Sakamoto,28,124
360,USA,Alex Rybakov,24,123
361,GER,Louis Wessels,23,123
362,TPE,Yu Hsiou Hsu,22,123
363,ITA,Matteo Arnaldi,20,122
364,ITA,Luca Nardi,18,121
365,BUL,Adrian Andreev,20,121
366,FRA,Calvin Hemery,26,120
367,NED,Gijs Brouwer,25,119
368,ESP,Roberto Ortega-Olmedo,30,119
369,ITA,Filippo Baldi,25,118
370,MON,Lucas Catarina,25,118
371,HUN,Fabian Marozsan,22,116
372,CZE,Michael Vrbensky,22,116
373,ESP,Alvaro Lopez San Martin,24,115
374,USA,Nick Chappell,29,115
375,AUS,Rinky Hijikata,20,113
376,NED,Igor Sijsling,34,113
377,ITA,Facundo Juarez,24,113
378,CAN,Alexis Galarneau,22,112
379,GER,Rudolf Molleker,21,112
380,ITA,Julian Ocleppo,24,112
381,ISR,Dudi Sela,36,111
382,AUS,Andrew Harris,27,111
383,BAR,Darian King,29,110
384,POL,Filip Peliwo,27,110
385,KOR,Duckhee Lee,23,109
386,ESP,Oriol Roca Batalla,28,109
387,JPN,Shintaro Mochizuki,18,108
388,GER,Benjamin Hassan,26,108
389,USA,Zachary Svajda,19,107
390,USA,Noah Rubin,25,107
391,GBR,James Ward,34,107
392,UZB,Khumoyun Sultanov,23,107
393,SWE,Dragos Nicolae Madaras,24,107
394,AUS,John-Patrick Smith,32,106
395,FIN,Otto Virtanen,20,106
396,USA,Oliver Crawford,22,106
397,GER,Elmar Ejupovic,28,106
398,UKR,Oleksii Krutykh,21,106
399,GRE,Michail Pervolarakis,25,106
400,BIH,Aldin Setkic,34,106
401,FRA,Dan Added,22,105
402,BEL,Christopher Heyman,28,104
403,KAZ,Denis Yevseyev,28,104
404,GER,Mats Rosenkranz,23,103
405,BUL,Alexandar Lazarov,24,101
406,FRA,Nicolas Mahut,39,100
407,UKR,Georgii Kravchenko,21,100
408,ITA,Giovanni Fonio,23,100
409,ITA,Alessandro Bega,30,100
410,CHN,Zhe Li,35,99
411,USA,Donald Young,32,99
412,ARG,Francisco Comesana,21,99
413,ESP,Carlos Gomez-Herrera,31,99
414,IND,Mukund Sasikumar,24,99
415,BLR,Uladzimir Ignatik,31,99
416,PER,Nicolas Alvarez,25,97
417,KOR,Yun seong Chung,23,97
418,BRA,Gilbert Klier Junior,21,97
419,CRO,Viktor Galovic,31,96
420,FRA,Harold Mayot,19,95
421,SUI,Sandro Ehrat,30,95
422,ROU,Nicholas David Ionel,19,94
423,GER,Peter Heller,29,94
424,POL,Daniel Michalski,21,94
425,USA,Kevin King,30,93
426,TUR,Yanki Erel,21,93
427,USA,Zane Khan,19,92
428,JPN,Yuta Shimizu,22,92
429,ARG,Matias Zukas,25,92
430,CHN,Yan Bai,32,91
431,BRA,Guilherme Clezar,28,91
432,KOR,JiSung Nam,28,91
433,COL,Alejandro Gonzalez,32,90
434,ESP,Pol Martin Tiffon,22,90
435,AUS,Dayne Kelly,31,89
436,GBR,Billy Harris,26,88
437,ARG,Gonzalo Villanueva,26,88
438,CZE,Marek Gengel,26,88
439,FRA,Matthieu Perchicot,29,88
440,JPN,Shuichi Sekiguchi,30,87
441,GER,Johannes Haerteis,25,87
442,JPN,Shintaro Imai,28,86
443,ARG,Juan Pablo Paz,26,86
444,TUN,Skander Mansouri,26,86
445,RUS,Yan Bondarevskiy,21,85
446,ITA,Jacopo Berrettini,23,85
447,ESP,Jose Fco. Vidal Azorin,28,85
448,USA,Govind Nanda,20,84
449,BRA,Thomaz Bellucci,33,84
450,COL,Cristian Rodriguez,31,84
451,RUS,Ivan Nedelko,35,84
452,FRA,Corentin Denolly,24,82
453,CZE,David Poljak,25,82
454,JPN,Rio Noguchi,22,82
455,BEL,Steve Darcis,37,81
456,USA,Ryan Harrison,29,81
457,ARG,Agustin Velotti,29,81
